instance_name,num_nodes,instance_type,best_fitness,current_iteration,last_update_iteration,last_update_time,stalled_iterations,largest_iteration_offset
doublecenter-96-n100,100,doublecenter,2543.584,4969.4,4068,49.31084,901.4,415.4
doublecenter-alpha_1-93-n100,100,doublecenter,2244.186,4958.6,4304.6,51.9809,654,556.6
doublecenter-alpha_3-94-n100,100,doublecenter,2589.262,4928.2,4774,58.1757,154.2,433
doublecenter-alpha_1-100-n100,100,doublecenter,2640.918,5002.8,4579,54.89212,423.8,579.6
doublecenter-alpha_3-96-n100,100,doublecenter,2540.732,5011.2,4340,51.8276,671.2,618.2
doublecenter-alpha_3-92-n100,100,doublecenter,2315.708,4985.8,4222,50.91952,763.8,653.6
doublecenter-alpha_3-93-n100,100,doublecenter,2244.186,4954.4,4304.6,52.27928,649.8,556.6
doublecenter-95-n100,100,doublecenter,2532.234,4994.6,4821.2,57.9525,173.4,674
doublecenter-alpha_1-96-n100,100,doublecenter,2543.584,4972.8,4068,49.16204,904.8,415.4
doublecenter-alpha_1-99-n100,100,doublecenter,2421.138,4998.8,4466.8,53.68106,532,691
doublecenter-alpha_1-95-n100,100,doublecenter,2532.382,4948.8,4801.2,58.25524,147.6,674
doublecenter-92-n100,100,doublecenter,2316.03,4944.2,4199.2,50.91896,745,653.6
doublecenter-alpha_1-94-n100,100,doublecenter,2589.262,4964.8,4774,57.74074,190.8,433
doublecenter-alpha_3-100-n100,100,doublecenter,2640.962,4981,4483.4,54.09322,497.6,579.6
doublecenter-alpha_3-95-n100,100,doublecenter,2532.234,4988.2,4821.2,58.02872,167,674
doublecenter-alpha_3-99-n100,100,doublecenter,2421.296,4924.6,4272,52.11304,652.6,574.2
doublecenter-alpha_1-97-n100,100,doublecenter,2490.562,4990.6,4743,57.0434,247.6,840.2
doublecenter-100-n100,100,doublecenter,2640.962,4976.2,4483.4,54.16052,492.8,579.6
doublecenter-94-n100,100,doublecenter,2588.496,4954.6,4762.8,57.61324,191.8,433
doublecenter-91-n100,100,doublecenter,2438.912,4910.6,4076,49.91516,834.6,532.2
doublecenter-alpha_1-92-n100,100,doublecenter,2316.03,4928.6,4199.2,51.23286,729.4,653.6
doublecenter-98-n100,100,doublecenter,2384.048,4987.2,4480.8,53.89962,506.4,1041.2
doublecenter-97-n100,100,doublecenter,2490.562,4950,4743,57.54948,207,840.2
doublecenter-alpha_3-97-n100,100,doublecenter,2495.734,4909.8,4734,57.92478,175.8,840.2
doublecenter-93-n100,100,doublecenter,2244.186,4912.2,4304.6,52.76116,607.6,556.6
doublecenter-alpha_3-98-n100,100,doublecenter,2384.08,4936,4080,49.68246,856,704.2
doublecenter-alpha_1-98-n100,100,doublecenter,2384.08,4782.8,4080,51.56896,702.8,704.2
doublecenter-alpha_3-91-n100,100,doublecenter,2438.552,5011,4389.8,52.64236,621.2,768.6
doublecenter-alpha_1-91-n100,100,doublecenter,2438.724,4933.2,4081.4,49.6843,851.8,532.2
doublecenter-99-n100,100,doublecenter,2421.138,4918.2,4466.8,54.51642,451.4,691
