instance_name,num_nodes,instance_type,best_fitness,current_iteration,last_update_iteration,current_time,last_update_time,stalled_iterations,largest_iteration_offset
singlecenter-91-n100,100,singlecenter,1655.556,4842.8,4348.4,60.00466,54.13331999999999,494.4,1021.2
doublecenter-76-n50,50,doublecenter,1701.0059999999999,6797.2,2367.6,60.00196,20.752652,4429.6,1152.0
doublecenter-alpha_3-76-n50,50,doublecenter,1701.0059999999999,6791.8,2367.6,60.00458,21.120114,4424.2,1152.0
doublecenter-78-n50,50,doublecenter,1617.9879999999998,6846.2,1318.2,60.00322,12.054546,5528.0,539.2
doublecenter-alpha_3-73-n50,50,doublecenter,1365.632,6869.2,2309.8,60.002559999999995,20.367158,4559.4,1275.6
doublecenter-alpha_1-80-n50,50,doublecenter,1525.6680000000001,6848.8,3924.2,60.00282,34.479074000000004,2924.6,2487.6
doublecenter-alpha_1-71-n50,50,doublecenter,1535.41,6893.0,2402.0,60.00328,21.114192,4491.0,1094.0
doublecenter-71-n50,50,doublecenter,1535.41,6971.6,2402.0,60.003139999999995,20.672334,4569.6,1094.0
doublecenter-alpha_1-75-n50,50,doublecenter,1571.016,6884.0,4301.4,60.0053,37.46066,2582.6,2613.0
doublecenter-alpha_1-77-n50,50,doublecenter,1321.8,6812.2,1666.6,60.004999999999995,14.766548,5145.6,648.2
doublecenter-alpha_1-73-n50,50,doublecenter,1365.632,6799.0,2309.8,60.00431999999999,20.674548,4489.2,1275.6
doublecenter-79-n50,50,doublecenter,1338.85,6920.6,3442.6,60.0061,29.92816,3478.0,1822.0
doublecenter-alpha_3-77-n50,50,doublecenter,1321.8,6821.6,1666.6,60.0065,14.942860000000001,5155.0,648.2
doublecenter-80-n50,50,doublecenter,1525.6680000000001,6790.8,3924.2,60.00346,35.255082,2866.6,2487.6
doublecenter-alpha_3-78-n50,50,doublecenter,1617.9879999999998,6812.4,1318.2,60.005700000000004,11.687712000000001,5494.2,539.2
doublecenter-75-n50,50,doublecenter,1576.72,6798.4,4279.2,60.00352,38.0281,2519.2,2613.0
doublecenter-alpha_3-71-n50,50,doublecenter,1535.41,6931.0,2402.0,60.00398,21.237504,4529.0,1094.0
doublecenter-73-n50,50,doublecenter,1365.632,6912.2,2309.8,60.00204,20.519312,4602.4,1275.6
doublecenter-alpha_3-79-n50,50,doublecenter,1338.85,6942.6,3442.6,60.004540000000006,30.301480000000005,3500.0,1822.0
doublecenter-alpha_3-74-n50,50,doublecenter,1446.4660000000001,6614.2,2276.4,60.00566,20.021748,4337.8,1317.8
